device_name	core	die	ram_kb	flash_kb	core_count
STM32F412CGUx	Cortex-M4	DIE441	256	1024	1
STM32F412RETx	Cortex-M4	DIE441	256	512	1
STM32F412REYx	Cortex-M4	DIE441	256	512	1
STM32F412REYxP	Cortex-M4	DIE441	256	512	1
STM32F412RGTx	Cortex-M4	DIE441	256	1024	1
STM32F412RGYx	Cortex-M4	DIE441	256	1024	1
STM32F412RGYxP	Cortex-M4	DIE441	256	1024	1
STM32F412VEHx	Cortex-M4	DIE441	256	512	1
STM32F412VETx	Cortex-M4	DIE441	256	512	1
STM32F412VGHx	Cortex-M4	DIE441	256	1024	1
STM32F412VGTx	Cortex-M4	DIE441	256	1024	1
STM32F412ZEJx	Cortex-M4	DIE441	256	512	1
STM32F412ZETx	Cortex-M4	DIE441	256	512	1
STM32F412ZGJx	Cortex-M4	DIE441	256	1024	1
STM32F412ZGTx	Cortex-M4	DIE441	256	1024	1
STM32F413CGUx	Cortex-M4	DIE463	320	1024	1
STM32F413CHUx	Cortex-M4	DIE463	320	1536	1
STM32F413MGYx	Cortex-M4	DIE463	320	1024	1
STM32F413MHYx	Cortex-M4	DIE463	320	1536	1
STM32F413RGTx	Cortex-M4	DIE463	320	1024	1
STM32F413RHTx	Cortex-M4	DIE463	320	1536	1
STM32F413VGHx	Cortex-M4	DIE463	320	1024	1
STM32F413VGTx	Cortex-M4	DIE463	320	1024	1
STM32F413VHHx	Cortex-M4	DIE463	320	1536	1
STM32F413VHTx	Cortex-M4	DIE463	320	1536	1
STM32F413ZGJx	Cortex-M4	DIE463	320	1024	1
STM32F413ZGTx	Cortex-M4	DIE463	320	1024	1
STM32F413ZHJx	Cortex-M4	DIE463	320	1536	1
STM32F413ZHTx	Cortex-M4	DIE463	320	1536	1
STM32F415OGYx	Cortex-M4	DIE413	128	1024	1
STM32F415RGTx	Cortex-M4	DIE413	128	1024	1
STM32F415VGTx	Cortex-M4	DIE413	128	1024	1
STM32F415ZGTx	Cortex-M4	DIE413	128	1024	1
STM32F417IEHx	Cortex-M4	DIE413	128	512	1
STM32F417IETx	Cortex-M4	DIE413	128	512	1
STM32F417IGHx	Cortex-M4	DIE413	128	1024	1
STM32F417IGTx	Cortex-M4	DIE413	128	1024	1
STM32F417VETx	Cortex-M4	DIE413	128	512	1
STM32F417VGTx	Cortex-M4	DIE413	128	1024	1
STM32F417ZETx	Cortex-M4	DIE413	128	512	1
STM32F417ZGTx	Cortex-M4	DIE413	128	1024	1
STM32F423CHUx	Cortex-M4	DIE463	320	1536	1
STM32F423MHYx	Cortex-M4	DIE463	320	1536	1
STM32F423RHTx	Cortex-M4	DIE463	320	1536	1
STM32F423VHHx	Cortex-M4	DIE463	320	1536	1
STM32F423VHTx	Cortex-M4	DIE463	320	1536	1
STM32F423ZHJx	Cortex-M4	DIE463	320	1536	1
STM32F423ZHTx	Cortex-M4	DIE463	320	1536	1
STM32F427AGHx	Cortex-M4	DIE419	192	1024	1
STM32F427AIHx	Cortex-M4	DIE419	192	2048	1
STM32F427IGHx	Cortex-M4	DIE419	192	1024	1
STM32F427IGTx	Cortex-M4	DIE419	192	1024	1
STM32F427IIHx	Cortex-M4	DIE419	192	2048	1
STM32F427IITx	Cortex-M4	DIE419	192	2048	1
STM32F427VGTx	Cortex-M4	DIE419	192	1024	1
STM32F427VITx	Cortex-M4	DIE419	192	2048	1
STM32F427ZGTx	Cortex-M4	DIE419	192	1024	1
STM32F427ZITx	Cortex-M4	DIE419	192	2048	1
STM32F429AGHx	Cortex-M4	DIE419	192	1024	1
STM32F429AIHx	Cortex-M4	DIE419	192	2048	1
STM32F429BETx	Cortex-M4	DIE419	192	512	1
STM32F429BGTx	Cortex-M4	DIE419	192	1024	1
STM32F429BITx	Cortex-M4	DIE419	192	2048	1
STM32F429IEHx	Cortex-M4	DIE419	192	512	1
STM32F429IETx	Cortex-M4	DIE419	192	512	1
STM32F429IGHx	Cortex-M4	DIE419	192	1024	1
STM32F429IGTx	Cortex-M4	DIE419	192	1024	1
STM32F429IIHx	Cortex-M4	DIE419	192	2048	1
STM32F429IITx	Cortex-M4	DIE419	192	2048	1
STM32F429NEHx	Cortex-M4	DIE419	192	512	1
STM32F429NGHx	Cortex-M4	DIE419	192	1024	1
STM32F429NIHx	Cortex-M4	DIE419	192	2048	1
STM32F429VETx	Cortex-M4	DIE419	192	512	1
STM32F429VGTx	Cortex-M4	DIE419	192	1024	1
STM32F429VITx	Cortex-M4	DIE419	192	2048	1
STM32F429ZETx	Cortex-M4	DIE419	192	512	1
STM32F429ZGTx	Cortex-M4	DIE419	192	1024	1
STM32F429ZGYx	Cortex-M4	DIE419	192	1024	1
STM32F429ZITx	Cortex-M4	DIE419	192	2048	1
STM32F429ZIYx	Cortex-M4	DIE419	192	2048	1
STM32F437AIHx	Cortex-M4	DIE419	192	2048	1
STM32F437IGHx	Cortex-M4	DIE419	192	1024	1
STM32F437IGTx	Cortex-M4	DIE419	192	1024	1
STM32F437IIHx	Cortex-M4	DIE419	192	2048	1
STM32F437IITx	Cortex-M4	DIE419	192	2048	1
STM32F437VGTx	Cortex-M4	DIE419	192	1024	1
STM32F437VITx	Cortex-M4	DIE419	192	2048	1
STM32F437ZGTx	Cortex-M4	DIE419	192	1024	1
STM32F437ZITx	Cortex-M4	DIE419	192	2048	1
STM32F439AIHx	Cortex-M4	DIE419	192	2048	1
STM32F439BGTx	Cortex-M4	DIE419	192	1024	1
STM32F439BITx	Cortex-M4	DIE419	192	2048	1
STM32F439IGHx	Cortex-M4	DIE419	192	1024	1
STM32F439IGTx	Cortex-M4	DIE419	192	1024	1
STM32F439IIHx	Cortex-M4	DIE419	192	2048	1
STM32F439IITx	Cortex-M4	DIE419	192	2048	1
STM32F439NGHx	Cortex-M4	DIE419	192	1024	1
STM32F439NIHx	Cortex-M4	DIE419	192	2048	1
STM32F439VGTx	Cortex-M4	DIE419	192	1024	1
STM32F439VITx	Cortex-M4	DIE419	192	2048	1
STM32F439ZGTx	Cortex-M4	DIE419	192	1024	1
STM32F439ZGYx	Cortex-M4	DIE419	192	1024	1
STM32F439ZITx	Cortex-M4	DIE419	192	2048	1
STM32F439ZIYx	Cortex-M4	DIE419	192	2048	1
STM32F446MCYx	Cortex-M4	DIE421	128	256	1
STM32F446MEYx	Cortex-M4	DIE421	128	512	1
STM32F446RCTx	Cortex-M4	DIE421	128	256	1
STM32F446RETx	Cortex-M4	DIE421	128	512	1
STM32F446VCTx	Cortex-M4	DIE421	128	256	1
STM32F446VETx	Cortex-M4	DIE421	128	512	1
STM32F446ZCHx	Cortex-M4	DIE421	128	256	1
STM32F446ZCJx	Cortex-M4	DIE421	128	256	1
STM32F446ZCTx	Cortex-M4	DIE421	128	256	1
STM32F446ZEHx	Cortex-M4	DIE421	128	512	1
STM32F446ZEJx	Cortex-M4	DIE421	128	512	1
